t,u,v,raw
0.01,1.2,0.142,0
0.02,1.2,0.142,0
0.03,1.2,0.142,0
0.04,1.2,0.142,0
0.05,1.2,0.142,0
0.06,1.2,0.142,0
0.07,1.2,0.142,0
0.08,1.2,0.142,0
0.09,1.2,0.142,0
0.1,1.2,0.142,0
0.11,1.2,0.142,0
0.12,1.2,0.142,0
0.13,1.2,0.142,0
0.14,1.2,0.153,13
0.15,1.2,0.159,21
0.16,1.2,0.167,30
0.17,1.2,0.181,47
0.18,1.2,0.192,61
0.19,1.2,0.199,69
0.2,1.2,0.208,80
0.21,1.2,0.213,87
0.22,1.2,0.23,107
0.23,1.2,0.234,112
0.24,1.2,0.242,122
0.25,1.2,0.25,131
0.26,1.2,0.256,139
0.27,1.2,0.27,156
0.28,1.2,0.276,163
0.295,1.2,0.286,176
0.3,1.2,0.298,190
0.31,1.2,0.305,199
0.32,1.2,0.309,204
0.33,1.2,0.314,210
0.34,1.2,0.328,227
0.35,1.2,0.337,237
0.36,1.2,0.339,240
0.37,1.2,0.348,251
0.38,1.2,0.355,260
0.39,1.2,0.366,273
0.4,1.2,0.367,274
0.41,1.2,0.381,291
0.42,1.2,0.387,298
0.43,1.2,0.396,309
0.44,1.2,0.404,319
0.45,1.2,0.407,323
0.46,1.2,0.416,334
0.47,1.2,0.418,336
0.48,1.2,0.43,351
0.49,1.2,0.435,357
0.5,1.2,0.444,368
0.51,1.2,0.456,382
0.52,1.2,0.461,388
0.53,1.2,0.466,395
0.545,1.2,0.471,401
0.55,1.2,0.479,411
0.56,1.2,0.489,423
0.57,1.2,0.482,414
0.58,1.2,0.497,432
0.59,1.2,0.505,442
0.6,1.2,0.514,453
0.61,1.2,0.51,448
0.62,1.2,0.521,462
0.63,1.2,0.522,463
0.64,1.2,0.544,490
0.65,1.2,0.551,498
0.66,1.2,0.538,482
0.67,1.2,0.546,492
0.68,1.2,0.561,510
0.69,1.2,0.554,502
0.7,1.2,0.585,539
0.71,1.2,0.574,526
0.72,1.2,0.58,534
0.73,1.2,0.587,542
0.74,1.2,0.588,543
0.75,1.2,0.602,560
0.76,1.2,0.602,560
0.77,1.2,0.605,564
0.78,1.2,0.615,576
0.79,1.2,0.636,602
0.8,1.2,0.628,592
0.81,1.2,0.626,590
0.82,1.2,0.635,601
0.83,1.2,0.641,608
0.84,1.2,0.644,611
0.85,1.2,0.651,620
0.86,1.2,0.654,624
0.87,1.2,0.66,631
0.88,1.2,0.664,636
0.89,1.2,0.676,650
0.9,1.2,0.681,656
0.91,1.2,0.679,654
0.92,1.2,0.686,662
0.93,1.2,0.69,668
0.94,1.2,0.696,675
0.95,1.2,0.699,679
0.96,1.2,0.703,683
0.97,1.2,0.707,688
0.98,1.2,0.707,688
0.99,1.2,0.718,701
1.0,1.2,0.719,703
1.01,1.2,0.721,705
1.02,1.2,0.724,709
1.03,1.2,0.733,720
1.04,1.2,0.735,722
1.05,1.2,0.739,727
1.06,1.2,0.74,728
1.07,1.2,0.749,739
1.08,1.2,0.759,751
1.09,1.2,0.755,747
1.1,1.2,0.762,755
1.11,1.2,0.775,771
1.12,1.2,0.77,765
1.13,1.2,0.775,771
1.14,1.2,0.777,773
1.15,1.2,0.78,777
1.16,1.2,0.783,781
1.17,1.2,0.79,789
1.18,1.2,0.796,797
1.19,1.2,0.798,799
1.2,1.2,0.796,797
1.21,1.2,0.8,801
1.22,1.2,0.81,814
1.23,1.2,0.812,816
1.24,1.2,0.816,821
1.25,1.2,0.817,822
1.26,1.2,0.823,829
1.27,1.2,0.828,835
1.28,1.2,0.833,842
1.29,1.2,0.829,837
1.3,1.2,0.833,842
1.31,1.2,0.838,848
1.32,1.2,0.838,848
1.33,1.2,0.842,852
1.34,1.2,0.844,855
1.35,1.2,0.852,865
1.36,1.2,0.852,865
1.37,1.2,0.859,873
1.38,1.2,0.864,879
1.39,1.2,0.863,878
1.4,1.2,0.865,881
1.41,1.2,0.865,881
1.42,1.2,0.869,886
1.43,1.2,0.874,891
1.44,1.2,0.878,897
1.45,1.2,0.878,897
1.46,1.2,0.882,901
1.47,1.2,0.89,911
1.48,1.2,0.889,910
1.49,1.2,0.892,914
1.5,1.2,0.893,915
1.51,1.2,0.899,922
1.52,1.2,0.903,927
1.53,1.2,0.909,934
1.54,1.2,0.909,934
1.55,1.2,0.913,939
1.56,1.2,0.913,939
1.57,1.2,0.912,938
1.58,1.2,0.917,944
1.59,1.2,0.917,944
1.6,1.2,0.928,957
1.61,1.2,0.926,955
1.62,1.2,0.929,958
1.63,1.2,0.928,957
1.64,1.2,0.934,965
1.65,1.2,0.933,963
1.66,1.2,0.936,967
1.67,1.2,0.938,970
1.68,1.2,0.94,972
1.69,1.2,0.945,978
1.7,1.2,0.949,983
1.71,1.2,0.949,983
1.72,1.2,0.947,981
1.73,1.2,0.951,985
1.74,1.2,0.954,989
1.75,1.2,0.955,990
1.76,1.2,0.964,1001
1.77,1.2,0.963,1000
1.78,1.2,0.96,996
1.79,1.2,0.97,1008
1.8,1.2,0.97,1008
1.81,1.2,0.971,1010
1.82,1.2,0.978,1018
1.83,1.2,0.975,1014
1.84,1.2,0.977,1017
1.85,1.2,0.982,1023
1.86,1.2,0.981,1022
1.87,1.2,0.982,1023
1.88,1.2,0.994,1038
1.89,1.2,0.981,1022
1.9,1.2,0.995,1039
1.912,1.2,0.996,1040
1.92,1.2,0.997,1042
1.93,1.2,0.997,1041
1.94,1.2,1.002,1048
1.95,1.2,1.004,1050
1.96,1.2,1.002,1047
1.97,1.2,1.007,1054
1.98,1.2,1.006,1052
1.99,1.2,1.007,1054
2.0,1.2,1.011,1058
2.01,1.2,1.014,1062
2.02,1.2,1.014,1062
2.033,1.2,1.02,1069
2.04,1.2,1.02,1070
2.05,1.2,1.023,1073
2.06,1.2,1.024,1074
2.07,1.2,1.021,1071
2.08,1.2,1.028,1079
2.09,1.2,1.03,1081
2.1,1.2,1.025,1076
2.11,1.2,1.034,1087
2.12,1.2,1.033,1085
2.13,1.2,1.035,1088
2.14,1.2,1.035,1088
2.15,1.2,1.035,1088
2.16,1.2,1.034,1087
2.17,1.2,1.04,1094
2.18,1.2,1.043,1097
2.19,1.2,1.044,1099
2.2,1.2,1.036,1089
2.21,1.2,1.044,1099
2.22,1.2,1.053,1109
2.23,1.2,1.049,1105
2.24,1.2,1.051,1107
2.25,1.2,1.053,1110
2.26,1.2,1.053,1110
2.27,1.2,1.057,1114
2.28,1.2,1.053,1109
2.29,1.2,1.061,1119
2.3,1.2,1.057,1115
2.31,1.2,1.059,1117
2.32,1.2,1.064,1123
2.33,1.2,1.062,1120
2.34,1.2,1.066,1126
2.35,1.2,1.062,1121
2.36,1.2,1.064,1123
2.37,1.2,1.07,1130
2.38,1.2,1.069,1129
2.39,1.2,1.07,1130
2.4,1.2,1.071,1131
2.41,1.2,1.074,1135
2.42,1.2,1.074,1135
2.43,1.2,1.075,1136
2.44,1.2,1.077,1139
2.45,1.2,1.076,1138
2.46,1.2,1.076,1138
2.47,1.2,1.083,1146
2.482,1.2,1.08,1142
2.49,1.2,1.082,1145
2.5,1.2,1.087,1151
2.51,1.2,1.087,1151
2.52,1.2,1.08,1143
2.53,1.2,1.087,1151
2.54,1.2,1.089,1153
2.55,1.2,1.089,1153
2.56,1.2,1.095,1161
2.57,1.2,1.094,1159
2.58,1.2,1.089,1154
2.59,1.2,1.089,1154
2.6,1.2,1.097,1163
2.61,1.2,1.101,1168
2.62,1.2,1.1,1167
2.63,1.2,1.095,1161
2.64,1.2,1.101,1168
2.65,1.2,1.102,1169
2.66,1.2,1.097,1163
2.67,1.2,1.098,1165
2.68,1.2,1.101,1168
2.69,1.2,1.105,1173
2.7,1.2,1.104,1172
2.71,1.2,1.106,1174
2.72,1.2,1.103,1170
2.73,1.2,1.102,1169
2.74,1.2,1.112,1182
2.75,1.2,1.109,1178
2.76,1.2,1.108,1177
2.77,1.2,1.11,1179
2.782,1.2,1.111,1180
2.79,1.2,1.114,1184
2.8,1.2,1.12,1191
2.81,1.2,1.118,1189
2.82,1.2,1.115,1185
2.83,1.2,1.12,1191
2.84,1.2,1.121,1192
2.85,1.2,1.119,1190
2.86,1.2,1.116,1186
2.87,1.2,1.125,1197
2.88,1.2,1.125,1197
2.89,1.2,1.127,1200
2.9,1.2,1.126,1199
2.91,1.2,1.127,1200
2.92,1.2,1.127,1200
